Name	Cert Area(s)	Grade Band	Status	Target District	Placed District	Placed School	Email	Phone	Resume Link	Notes
Maria Santos	Elementary Ed	Elementary	Unplaced	Federal Way			maria.santos@corps.tfawashington.org	(206) 555-2154		Strong in bilingual ed
Carlos Rivera	Social Studies	High	Unplaced				carlos.rivera@corps.tfawashington.org	(206) 555-2261		
Marcus Lee	Math	High	Unplaced				marcus.lee@corps.tfawashington.org	(206) 555-1929		Open to any district
Keisha Brown	Science	High	Unplaced	Auburn			keisha.brown@corps.tfawashington.org	(206) 555-2149		
Destiny Washington	Elementary Ed	Elementary	Unplaced	Federal Way			destiny.washington@corps.tfawashington.org	(206) 555-2826		
Jordan Nguyen	Math	Middle	Unplaced	Renton			jordan.nguyen@corps.tfawashington.org	(206) 555-2268		Prefers King County
Aaliyah Jackson	ELL	Elementary	Unplaced	Federal Way			aaliyah.jackson@corps.tfawashington.org	(206) 555-2442		Spanish bilingual
Ethan Morales	Special Ed	Middle	Unplaced	Renton			ethan.morales@corps.tfawashington.org	(206) 555-2251		
Sofia Hernandez	Elementary Ed, ELL	Elementary	Unplaced	Auburn			sofia.hernandez@corps.tfawashington.org	(206) 555-2457		Dual language certified
Trevon Harris	English/LA	High	Unplaced				trevon.harris@corps.tfawashington.org	(206) 555-2287		
Hannah Park	Science	Middle	Unplaced	Federal Way			hannah.park@corps.tfawashington.org	(206) 555-2020		
Isaiah Coleman	Special Ed	Elementary	Unplaced	Franklin Pierce			isaiah.coleman@corps.tfawashington.org	(206) 555-2326		Has K-8 endorsement
Mia Thompson	Elementary Ed	Elementary	Unplaced	Fife			mia.thompson@corps.tfawashington.org	(206) 555-2167		
Liam O'Brien	Math, Science	High	Unplaced	Renton			liam.o'brien@corps.tfawashington.org	(206) 555-2033		
Camila Reyes	ELL	Middle	Unplaced	Tacoma			camila.reyes@corps.tfawashington.org	(206) 555-2135		
Noah Bennett	Special Ed	High	Unplaced	Federal Way			noah.bennett@corps.tfawashington.org	(206) 555-2142		Emotional/behavioral focus
Zara Ahmed	Elementary Ed	Elementary	Unplaced	Auburn			zara.ahmed@corps.tfawashington.org	(206) 555-1909		
Jaylen Moore	English/LA	Middle	Unplaced	Federal Way			jaylen.moore@corps.tfawashington.org	(206) 555-2157		
Grace Kim	Music	Elementary	Unplaced				grace.kim@corps.tfawashington.org	(206) 555-1803		K-8 music certified
Diego Gutierrez	CTE	High	Unplaced	Auburn			diego.gutierrez@corps.tfawashington.org	(206) 555-2481		Business ed background
Sarah Mitchell	English/LA	Middle	Pinged	Federal Way			sarah.mitchell@corps.tfawashington.org	(206) 555-2345		2nd year CM
Tyler Park	Science	Middle	Pinged	Tacoma			tyler.park@corps.tfawashington.org	(206) 555-1958		
Olivia Foster	Elementary Ed	Elementary	Pinged	Renton			olivia.foster@corps.tfawashington.org	(206) 555-2271		
DeAndre Williams	Math	High	Pinged	Federal Way			deandre.williams@corps.tfawashington.org	(206) 555-2525		
Emma Chen	Special Ed	Elementary	Pinged	Auburn			emma.chen@corps.tfawashington.org	(206) 555-1798		Resource room preferred
Ryan Patel	Science	High	Pinged	Renton			ryan.patel@corps.tfawashington.org	(206) 555-1944		Chemistry endorsement
Jasmine Taylor	ELL, Elementary Ed	Elementary	Pinged	Federal Way			jasmine.taylor@corps.tfawashington.org	(206) 555-2378		
Brandon Scott	Social Studies	Middle	Pinged	Franklin Pierce			brandon.scott@corps.tfawashington.org	(206) 555-2265		
Natalie Cruz	Math	Middle	Pinged	Renton			natalie.cruz@corps.tfawashington.org	(206) 555-2154		
Christopher Adams	Special Ed	High	Pinged	Auburn			christopher.adams@corps.tfawashington.org	(206) 555-2681		SLC experience
Ava Robinson	Elementary Ed	Elementary	Pinged	Fife			ava.robinson@corps.tfawashington.org	(206) 555-2154		
Michael Tran	English/LA	High	Pinged	Tacoma			michael.tran@corps.tfawashington.org	(206) 555-2128		
James Thompson	Elementary Ed, ELL	Elementary	Applied	Tacoma			james.thompson@corps.tfawashington.org	(206) 555-2384		
Aisha Johnson	Special Ed	Elementary	Applied	Fife			aisha.johnson@corps.tfawashington.org	(206) 555-2253		Has K-8 endorsement
Daniel Garcia	Math	High	Applied	Federal Way			daniel.garcia@corps.tfawashington.org	(206) 555-2204		
Brittany Lewis	Science	Middle	Applied	Renton			brittany.lewis@corps.tfawashington.org	(206) 555-2393		
Kevin Okafor	Special Ed	Middle	Applied	Franklin Pierce			kevin.okafor@corps.tfawashington.org	(206) 555-2151		
Samantha White	Elementary Ed	Elementary	Applied	Federal Way			samantha.white@corps.tfawashington.org	(206) 555-2358		
Luis Ramirez	ELL	Middle	Applied	Renton			luis.ramirez@corps.tfawashington.org	(206) 555-2175		Vietnamese bilingual
Alexis Turner	English/LA	Middle	Applied	Auburn			alexis.turner@corps.tfawashington.org	(206) 555-2286		
Andre Williams	Math	Middle	Interviewing	Franklin Pierce			andre.williams@corps.tfawashington.org	(206) 555-2356		Prefers Pierce County
Priya Patel	ELL, Elementary Ed	Elementary	Interviewing	Auburn			priya.patel@corps.tfawashington.org	(206) 555-2051		
Jessica Hawkins	Special Ed	High	Interviewing	Federal Way			jessica.hawkins@corps.tfawashington.org	(206) 555-2463		SEB program interview
Marcus Young	Science	High	Interviewing	Renton			marcus.young@corps.tfawashington.org	(206) 555-2181		Bio + chem
Stephanie Flores	Elementary Ed	Elementary	Interviewing	Federal Way			stephanie.flores@corps.tfawashington.org	(206) 555-2580		
David Chen	Math, Science	High	Hired	Renton	Renton	Lindbergh HS	david.chen@corps.tfawashington.org	(206) 555-1902		
Rachel Kim	Elementary Ed	Elementary	Hired	Federal Way	Federal Way	Camelot Elementary	rachel.kim@corps.tfawashington.org	(206) 555-1912		
Terrence Brooks	Special Ed	Middle	Hired	Auburn	Auburn	Olympic MS	terrence.brooks@corps.tfawashington.org	(206) 555-2480		
Amanda Fischer	Math	Middle	Hired	Federal Way	Federal Way	Lakota MS	amanda.fischer@corps.tfawashington.org	(206) 555-2318		
Jonathan Lee	English/LA	High	Hired	Renton	Renton	Hazen HS	jonathan.lee@corps.tfawashington.org	(206) 555-2129		
